GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Code Coverage with Jacoco,default,FizzBuzz,18,28,3,3,5,7,7,3,4,3
Code Coverage with Jacoco,default,ReturnNumbers,18,0,0,0,6,0,6,0,6,0
